stname,stabbr,stfips,year,rml,prcng,mml,mml_year,years_since_mml,rmlsl,regag,lcauth,edib,conc,hemp,rtl,pblus,pblus2,mmlhc,rmlhc,mmlout,hmdl,hmdl2,pkr,warnr,warnthc,warnsize,adgn,adyth,undrg,undrg2,drvpr,drvpr2,drvpr3,opncn,opncn2,tax,tax2,thclim,estlm,pkwrn,id,styr
Colorado,CO,8,2023,1,1,1,2000,23,1,1,2,2,2,1,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1,CO2023,29
Colorado,CO,8,2021,1,1,1,2000,21,1,1,2,2,2,1,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1,CO2021,27
Colorado,CO,8,2024,1,1,1,2000,24,1,1,2,2,2,3,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1,CO2024,30
Colorado,CO,8,2020,1,1,1,2000,20,1,1,2,2,2,1,2,1,0,1,1,1,1,0,2,2,2,2,2,2,5,2,3,3,2,1,0,1,1,1,0,1,CO2020,26
Connecticut,CT,9,2022,1,1,1,2012,10,0,2,2,2,2,1,1,2,1,1,0,1,1,0,2,2,2,2,2,2,5,2,2,2,1,2,1,2,4,1,0,1,CT2022,33
Connecticut,CT,9,2023,1,1,1,2012,11,0,2,2,2,2,1,1,2,1,1,0,1,1,0,2,2,2,2,2,2,5,2,2,2,1,2,1,2,4,1,0,1,CT2023,34
Connecticut,CT,9,2020,0,0,1,2012,8,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CT2020,31
Connecticut,CT,9,2024,1,1,1,2012,12,1,2,2,2,2,2,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,2,2,1,2,1,2,4,1,0,1,CT2024,35
Connecticut,CT,9,2021,0,0,1,2012,9,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CT2021,32
District of Columbia,DC,11,2021,1,0,1,2011,10,0,1,0,1,1,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,0,0,0,0,0,DC2021,37
District of Columbia,DC,11,2024,1,0,1,2011,13,0,1,0,1,1,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,0,0,0,0,0,DC2024,40
District of Columbia,DC,11,2022,1,0,1,2011,11,0,1,0,1,1,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,0,0,0,0,0,DC2022,38
District of Columbia,DC,11,2023,1,0,1,2011,12,0,1,0,1,1,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,0,0,0,0,0,DC2023,39
District of Columbia,DC,11,2020,1,0,1,2011,9,0,1,0,1,1,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,0,0,0,0,0,DC2020,36
Delaware,DE,10,2021,0,0,1,2011,10,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE2021,42
Delaware,DE,10,2022,0,0,1,2011,11,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE2022,43
Delaware,DE,10,2020,0,0,1,2011,9,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE2020,41
Delaware,DE,10,2024,1,1,1,2011,13,0,1,2,2,2,3,1,2,1,1,0,1,2,1,0,0,0,0,0,0,5,2,2,2,1,1,0,1,1,0,0,0,DE2024,45
Delaware,DE,10,2023,0,0,1,2011,12,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE2023,44
Florida,FL,12,2021,0,0,1,2016,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FL2021,47
Florida,FL,12,2023,0,0,1,2016,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FL2023,49
Florida,FL,12,2020,0,0,1,2016,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FL2020,46
Florida,FL,12,2024,0,0,1,2016,8,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FL2024,50
Florida,FL,12,2022,0,0,1,2016,6,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FL2022,48
Georgia,GA,13,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GA2021,52
