id,styr,stname,stabbr,stfips,year,rml,prcng,mml,mml_year,years_since_mml,rmlsl,regag,lcauth,edib,conc,hemp,rtl,pblus,pblus2,mmlhc,rmlhc,mmlout,hmdl,hmdl2,pkr,warnr,warnthc,warnsize,adgn,adyth,undrg,undrg2,drvpr,drvpr2,drvpr3,opncn,opncn2,tax,tax2,thclim,estlm,pkwrn
84,CT2024,Connecticut,CT,9,2024,1,1,1,2012,12,1,2,2,2,2,2,1,2,1,1,1,1,1,0,2,2,2,2,2,2,5,2,2,2,1,2,1,2,4,1,0,1
79,CT2019,Connecticut,CT,9,2019,0,0,1,2012,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,CT2015,Connecticut,CT,9,2015,0,0,1,2012,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,CT2017,Connecticut,CT,9,2017,0,0,1,2012,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,CT2014,Connecticut,CT,9,2014,0,0,1,2012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,CT2021,Connecticut,CT,9,2021,0,0,1,2012,9,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,CT2013,Connecticut,CT,9,2013,0,0,1,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,DC2014,District of Columbia,DC,11,2014,0,0,1,2011,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,DC2021,District of Columbia,DC,11,2021,1,0,1,2011,10,0,1,0,1,1,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,0,0,0,0,0
96,DC2024,District of Columbia,DC,11,2024,1,0,1,2011,13,0,1,0,1,1,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,0,0,0,0,0
85,DC2013,District of Columbia,DC,11,2013,0,0,1,2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,DC2022,District of Columbia,DC,11,2022,1,0,1,2011,11,0,1,0,1,1,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,0,0,0,0,0
90,DC2018,District of Columbia,DC,11,2018,1,0,1,2011,7,0,1,0,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,0,0,0,0,0
91,DC2019,District of Columbia,DC,11,2019,1,0,1,2011,8,0,1,0,1,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,0,0,0,0,0
95,DC2023,District of Columbia,DC,11,2023,1,0,1,2011,12,0,1,0,1,1,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,0,0,0,0,0
87,DC2015,District of Columbia,DC,11,2015,0,0,1,2011,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,DC2017,District of Columbia,DC,11,2017,1,0,1,2011,6,0,1,0,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,0,0,0,0,0
88,DC2016,District of Columbia,DC,11,2016,1,0,1,2011,5,0,1,0,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,0,0,0,0,0
92,DC2020,District of Columbia,DC,11,2020,1,0,1,2011,9,0,1,0,1,1,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,0,0,0,0,0
97,DE2013,Delaware,DE,10,2013,0,0,1,2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,DE2014,Delaware,DE,10,2014,0,0,1,2011,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,DE2016,Delaware,DE,10,2016,0,0,1,2011,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,DE2021,Delaware,DE,10,2021,0,0,1,2011,10,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,DE2018,Delaware,DE,10,2018,0,0,1,2011,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,DE2022,Delaware,DE,10,2022,0,0,1,2011,11,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,DE2015,Delaware,DE,10,2015,0,0,1,2011,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,DE2017,Delaware,DE,10,2017,0,0,1,2011,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,DE2019,Delaware,DE,10,2019,0,0,1,2011,8,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,DE2020,Delaware,DE,10,2020,0,0,1,2011,9,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,DE2024,Delaware,DE,10,2024,1,1,1,2011,13,0,1,2,2,2,3,1,2,1,1,0,1,2,1,0,0,0,0,0,0,5,2,2,2,1,1,0,1,1,0,0,0
107,DE2023,Delaware,DE,10,2023,0,0,1,2011,12,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,FL2013,Florida,FL,12,2013,0,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,FL2014,Florida,FL,12,2014,0,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,FL2021,Florida,FL,12,2021,0,0,1,2016,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,FL2023,Florida,FL,12,2023,0,0,1,2016,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,FL2016,Florida,FL,12,2016,0,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,FL2018,Florida,FL,12,2018,0,0,1,2016,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,FL2020,Florida,FL,12,2020,0,0,1,2016,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
